"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL5",1.18702955491266e-98,7.82741052566907,0.965,0.062,1.22252173860454e-94
"B2M",2.33944121124386e-88,2.35755342573884,1,0.977,2.40939050346005e-84
"GZMA",5.68605901420607e-81,7.57208506216826,0.855,0.038,5.85607217873083e-77
"CST7",6.35049422613781e-80,6.33647684548399,0.864,0.077,6.54037400349933e-76
"HCST",4.89138112728973e-79,6.19302610628209,0.867,0.112,5.03763342299569e-75
"EPCAM",7.64366168044657e-77,-6.0609437549731,0.012,0.746,7.87220716469193e-73
"HLA-C",2.33038790526467e-75,1.8287006879781,0.997,0.869,2.40006650363209e-71
"CLDN4",1.54851048351855e-73,-6.00059655342976,0.02,0.731,1.59481094697575e-69
"ELF3",7.01056534315788e-73,-6.79245671431607,0.014,0.715,7.2201812469183e-69
"BTG1",1.04209074434794e-68,3.05156422072636,0.939,0.662,1.07324925760394e-64
"CD9",2.29707143802691e-68,-4.22358782872856,0.084,0.796,2.36575387402392e-64
"EMP2",6.15332162132541e-67,-7.90254350775572,0.006,0.662,6.33730593780304e-63
"CORO1A",1.78574715603033e-66,5.22511639271579,0.809,0.158,1.83914099599564e-62
"HLA-B",8.30319134647179e-64,1.674022314635,0.997,0.881,8.5514567677313e-60
"C19orf33",4.96568052316168e-63,-6.39675872451653,0.009,0.638,5.11415437080421e-59
"CD52",1.0961125431269e-62,5.33744025616233,0.795,0.169,1.12888630816639e-58
"CD59",6.83436947722019e-61,-3.93635978515698,0.069,0.731,7.03871712458907e-57
"APP",8.04453527524005e-60,-6.18977962848859,0.006,0.608,8.28506687996973e-56
"FXYD3",6.92088521770756e-59,-4.86042872457851,0.035,0.654,7.12781968571701e-55
"APLP2",7.18714805664511e-59,-3.6363594055871,0.09,0.735,7.40204378353879e-55
"CEACAM6",1.20135747865582e-58,-6.23332335341565,0.014,0.612,1.23727806726763e-54
"CTNNA1",1.79694707790952e-58,-3.63217290428677,0.035,0.673,1.85067579553902e-54
"CTSW",2.57773439605722e-58,8.3669945098672,0.676,0.012,2.65480865449933e-54
"GSTP1",4.1601356224954e-58,-2.29382238215555,0.54,0.95,4.28452367760801e-54
"ATP1B1",6.11356192714691e-58,-4.33980419091185,0.043,0.669,6.2963574287686e-54
"GSN",7.65756473113853e-58,-4.74682421613489,0.023,0.635,7.88652591659957e-54
"CLDN7",1.79294423283095e-57,-5.68615008207615,0.009,0.596,1.84655326539259e-53
"HLA-A",2.09832861459402e-57,1.41156247340067,1,0.896,2.16106864017038e-53
"GPRC5A",2.51591874192292e-57,-5.36304303091212,0.014,0.608,2.59114471230642e-53
"CXCR4",5.14452881840987e-57,5.71440389272365,0.734,0.112,5.29835023008033e-53
"HLA-E",6.40832465112206e-57,1.93640211593478,0.925,0.727,6.59993355819061e-53
"BRI3",7.2064724143492e-57,-3.95650202464095,0.052,0.677,7.42194593953824e-53
"AGR2",2.52510711177653e-56,-5.24032503885127,0.032,0.627,2.60060781441865e-52
"CST3",3.99291364799758e-56,-3.12024239765608,0.199,0.812,4.1123017660727e-52
"CCL4",1.04625137868041e-55,7.12462285428093,0.754,0.2,1.07753429490295e-51
"GZMH",2.6584906630572e-55,7.47813019818635,0.662,0.023,2.73797953388261e-51
"ARHGDIB",9.29647631943062e-55,2.57516034704037,0.87,0.558,9.5744409613816e-51
"BLVRB",5.94096117258584e-54,-3.35806382614135,0.043,0.654,6.11859591164616e-50
"HES1",1.13162999662072e-53,-6.20025086408724,0.006,0.558,1.16546573351968e-49
"CYB5A",8.27590039733837e-53,-3.31512440445444,0.113,0.746,8.52334981921878e-49
"CTTN",1.97613716713585e-52,-10.6438443643254,0,0.531,2.03522366843321e-48
"ARPC1A",6.35439012646421e-52,-3.37364180462766,0.043,0.642,6.54438639124549e-48
"CD63",1.52982384397219e-51,-2.17064883781016,0.543,0.931,1.57556557690695e-47
"CD3D",2.22056808620636e-50,6.94039016827891,0.63,0.035,2.28696307198393e-46
"GMFG",2.65493997709339e-50,4.04115819105533,0.705,0.108,2.73432268240848e-46
"BCAM",1.21274009413955e-49,-6.93557688083706,0.003,0.515,1.24900102295432e-45
"CD2",2.12161178591201e-49,7.25493440065681,0.616,0.027,2.18504797831078e-45
"CLDN3",2.25471600139368e-49,-4.96381771009931,0.014,0.542,2.32213200983535e-45
"CD3E",5.04780591225745e-49,6.50776162192392,0.616,0.031,5.19873530903395e-45
"CD48",8.32066035951222e-49,6.14977591993728,0.63,0.05,8.56944810426164e-45
"CRIP2",2.33408758956162e-48,-4.06819710838722,0.029,0.569,2.40387680848951e-44
"EFNA1",2.95899536538092e-48,-6.03913066581224,0.006,0.512,3.04746932680581e-44
"CCND1",9.25975997638471e-48,-5.78426161956504,0.006,0.508,9.53662679967862e-44
"GPX1",2.20933421188962e-47,-2.42750236265323,0.24,0.815,2.27539330482511e-43
"CD151",4.66029144316846e-47,-2.99287682445273,0.087,0.673,4.7996341573192e-43
"AK1",4.83966674634869e-47,-3.41079030462179,0.035,0.577,4.98437278206452e-43
"CD37",8.67969295975123e-47,6.19898672005376,0.601,0.035,8.93921577924779e-43
"CXCL17",1.9237596584875e-46,-5.50519566583513,0.017,0.519,1.98128007227628e-42
"FAM213A",1.92548388541789e-46,-5.56269089747187,0.003,0.488,1.98305585359188e-42
"H1F0",1.97720664456942e-46,-5.26800921297616,0.009,0.504,2.03632512324204e-42
"ANXA2",3.41489376332898e-46,-2.45908244877087,0.39,0.869,3.51699908685252e-42
"CDH1",4.15713966989926e-46,-7.03863190846772,0.003,0.485,4.28143814602925e-42
"DMKN",5.56338957246644e-46,-5.75884235102357,0.006,0.492,5.72973492068318e-42
"CRABP2",5.86977205614647e-46,-6.20921499511443,0.009,0.496,6.04527824062525e-42
"GZMM",2.0643945465581e-45,6.24493600648723,0.592,0.038,2.12611994350019e-41
"CD24",2.52411930632438e-45,-6.68874100562014,0.009,0.488,2.59959047358348e-41
"ERRFI1",3.47814453106969e-45,-4.72876343152196,0.014,0.508,3.58214105254867e-41
"F11R",1.26620046631117e-44,-5.36904947935557,0.006,0.481,1.30405986025388e-40
"CSTB",2.15709905300015e-44,-2.664882811156,0.373,0.862,2.22159631468485e-40
"HDLBP",2.506726560338e-44,-2.72028682318983,0.04,0.577,2.58167768449211e-40
"CKB",2.79645550055604e-44,-5.8095046692369,0.006,0.477,2.88006952002266e-40
"CRNDE",3.74427307214087e-44,-5.11749203131593,0.006,0.477,3.85622683699788e-40
"DSTN",7.25676541840122e-44,-2.09719313026217,0.277,0.831,7.47374270441142e-40
"ERBB3",3.68823605207565e-43,-10.451018779434,0,0.45,3.79851431003271e-39
"GZMB",3.96959691182596e-43,6.16927382664395,0.584,0.05,4.08828785948956e-39
"CD7",4.00927673205185e-43,5.88778442645642,0.587,0.054,4.1291541063402e-39
"HMGB3",4.52418184460908e-43,-4.77114826099155,0.014,0.488,4.65945488176289e-39
"FTH1",4.75086022938821e-43,-1.46458035009735,0.991,0.996,4.89291095024692e-39
"CAV2",9.83391105316998e-43,-10.9056023640312,0,0.446,1.01279449936598e-38
"DHCR24",1.62121774231986e-42,-5.21013370078287,0.009,0.469,1.66969215281523e-38
"EVL",1.96194161591059e-42,4.42768777748275,0.647,0.146,2.02060367022632e-38
"DDR1",2.6137286212508e-42,-10.0078965879748,0,0.442,2.69187910702619e-38
"FOLR1",2.73131324373872e-42,-4.8756551582711,0.014,0.481,2.81297950972651e-38
"CALU",6.80765127809305e-42,-3.32208685214578,0.029,0.519,7.01120005130803e-38
