names,scores,logfoldchanges,pvals,pvals_adj
TNFRSF13B,-6.1205935,-1.2304235,9.322732549198502e-10,2.762698563629484e-05
RPL21,5.44224,0.11120061,5.261464283199309e-08,0.0004998103078886225
PRDM2,-5.427226,-1.1770315,5.7236547902863274e-08,0.0004998103078886225
RPS19,5.397796,0.15478247,6.746444055998144e-08,0.0004998103078886225
TIGIT,5.3327575,27.565683,9.673234793396413e-08,0.0005733132797350187
FNBP1,-5.027296,-0.6949209,4.974441586558129e-07,0.00245687669960106
SFPQ,-4.983826,-0.90671694,6.233904501996877e-07,0.002639078943031078
TMSB10,4.9029765,0.18826856,9.439522449041066e-07,0.003496635103186037
RPL15,4.869782,0.10362238,1.117214572923964e-06,0.0036786151837809727
RPS13,4.8411713,0.11932506,1.2907609018699318e-06,0.003825040856601356
EIF4B,-4.8071795,-0.5905911,1.530746410822187e-06,0.004123830830754972
YWHAB,-4.6964126,-0.5516464,2.6477068321469436e-06,0.006538512021986877
RPL12,4.6296244,0.109629385,3.6632940313298827e-06,0.00835061964034075
SYPL1,-4.474436,-0.5801019,7.661340299642483e-06,0.01621686845997181
VAMP2,-4.421222,-0.5055605,9.814413174059883e-06,0.019389354666672704
HNRNPC,-4.341657,-0.49438596,1.4141216816495922e-05,0.02328115661889112
SMARCB1,-4.3501163,-0.56071395,1.3606539594898646e-05,0.02328115661889112
MTDH,-4.3585753,-0.5773061,1.3091179995844981e-05,0.02328115661889112
TRAPPC1,-4.2926292,-0.5832197,1.765698891951066e-05,0.02753932682319889
RPL8,4.2403016,0.071999885,2.2321977060730935e-05,0.029173362522589976
NCL,-4.261826,-0.66345435,2.027633198558133e-05,0.029173362522589976
CTSS,-4.218334,-0.48968008,2.4611394447754247e-05,0.029173362522589976
RPL13,4.2243795,0.090558745,2.3959993614710704e-05,0.029173362522589976
RPS24,4.256755,0.09442939,2.0741555265206922e-05,0.029173362522589976
HLA-DRB5,-4.2208805,-0.48462537,2.4334967157893843e-05,0.029173362522589976
RPS3A,4.185649,0.115940966,2.8435274088553314e-05,0.03240965047462265
HLA-DQA2,-4.168088,-0.62378407,3.071651298066038e-05,0.032509040916746064
TOMM20,-4.1684203,-0.5306942,3.0671792433121324e-05,0.032509040916746064
RBM8A,-4.157636,-0.5694793,3.2155792032025394e-05,0.03285878417507036
KMT2E,-4.1386137,-0.47501662,3.494105571382231e-05,0.03451477483411368
PRMT1,-4.112616,-0.8568751,3.912005998925665e-05,0.03739625347489134
TNFRSF13C,-4.029109,-0.48397595,5.598863588435688e-05,0.05184897611865725
RAC2,-4.0066104,-0.44881782,6.159638346924582e-05,0.05434961129459085
VDAC2,-4.0037093,-0.61183834,6.23569813058004e-05,0.05434961129459085
ANP32B,-3.9941428,-0.47697958,6.492870688633366e-05,0.054974208567703194
DDX24,-3.973947,-0.5876375,7.069128450298898e-05,0.05661798716112366
CD22,-3.9775124,-0.5326839,6.964001529552538e-05,0.05661798716112366
FUS,-3.9409516,-0.4847166,8.115896890442342e-05,0.06329118117141273
HSP90AA1,-3.9084213,-0.45673317,9.29011688196722e-05,0.07026532286350683
COTL1,-3.9034166,-0.45757923,9.484419634677306e-05,0.07026532286350683
CCDC85B,-3.8788142,-0.5757728,0.00010496691242654153,0.07586803616702761
ARF6,-3.8570683,-0.54224694,0.0001147551475394184,0.0809679533853125
UBE2I,-3.8494725,-0.5008445,0.00011837240642902158,0.08157785795622385
IFI16,-3.816765,-0.5122784,0.0001352127521981494,0.09106578860545363
TCEA1,-3.7764843,-0.5199283,0.00015905760811542555,0.10208492256767415
TMSB4X,3.7720554,0.11813986,0.00016190832694474878,0.10208492256767415
N4BP2L2,-3.7821534,-0.4340015,0.0001554775846146935,0.10208492256767415
RPL6,3.749601,0.08759132,0.00017711629746677404,0.10230819620403173
NUCKS1,-3.7578163,-0.61984324,0.0001714025563456484,0.10230819620403173
H3F3B,-3.7626438,-0.37018353,0.00016812649588264812,0.10230819620403173
ACAP1,-3.7462127,-0.43537027,0.00017952440448841363,0.10230819620403173
COX7A2,-3.7497115,-0.45964357,0.00017703811606259312,0.10230819620403173
HNRNPF,-3.739237,-0.50853205,0.00018457953350517616,0.103204337658347
BASP1,-3.713948,-0.7731695,0.0002040506612788434,0.10608486484802185
ORAI2,-3.7151217,-0.50955725,0.0002031058716104504,0.10608486484802185
PPIB,-3.7244446,-0.55462265,0.0001957456861692869,0.10608486484802185
EIF4A2,-3.7144132,-0.4383571,0.00020367581790162206,0.10608486484802185
UBE2D3,-3.6815948,-0.43298766,0.00023177945147501242,0.11641614008492403
RPS27A,3.6835659,0.08649885,0.00022999387987482093,0.11641614008492403
NDUFA4,-3.6753724,-0.41533405,0.00023750279547105443,0.11730263068315379
EIF4G2,-3.6401403,-0.505281,0.00027248944975369224,0.13237626809837566
HNRNPU,-3.6245062,-0.55450183,0.0002895139282593029,0.13718872471501106
SUMO2,-3.622602,-0.43615693,0.0002916545068855267,0.13718872471501106
NT5C3A,-3.5825424,-0.6536791,0.00034026631047938904,0.155130028380711
DBNL,-3.5859084,-0.5093559,0.0003359068451273212,0.155130028380711
MT-CO1,-3.5736182,-0.3743001,0.00035208220488619745,0.15808490999390265
PRDX6,-3.5688572,-0.6277354,0.0003585418810576763,0.1585825388546743
PFDN2,-3.5523374,-0.70783305,0.0003818250654716778,0.16398556507518405
RSL1D1,-3.5547953,-0.45233777,0.00037827340372044823,0.16398556507518405
PRRC2C,-3.5470226,-0.45771098,0.00038961114875292506,0.16493909688777403
HLA-E,-3.5280004,-0.31942663,0.0004187114300071404,0.16531138078715946
JMJD1C,-3.53037,-0.6013386,0.00041497901036271915,0.16531138078715946
STK17B,-3.5351088,-0.45868742,0.0004076072080194826,0.16531138078715946
ARL6IP5,-3.5374563,-0.4339571,0.0004040012265318001,0.16531138078715946
RPL26,3.5316987,0.0889081,0.0004128996856187957,0.16531138078715946
