group,names,scores,logfoldchanges,pvals,pvals_adj
0,GPR183,18.871765,,1.9468777382497198e-79,1.4159110823634325e-78
0,KLRB1,12.501112,,7.361392018882357e-36,3.439902812561849e-35
0,GZMK,12.248015,,1.721576817742313e-34,7.861081359553941e-34
0,BIRC3,9.61433,,6.956055293204585e-22,2.6298885796614686e-21
0,RGS1,9.341659,,9.483675112882469e-21,3.4802477478467774e-20
0,TNFRSF4,9.326619,,1.0930220489923168e-20,3.9964243107580134e-20
0,IGKC,6.542593,,6.04612696285761e-11,1.727464846530746e-10
0,AC013264.2,6.1430936,,8.092945106708587e-10,2.2202867233768415e-09
0,FBLN5,6.0083117,,1.8746510757402967e-09,5.080355218808392e-09
0,CTLA4,4.930093,,8.219050682923377e-07,2.014473206598867e-06
0,IGHG3,3.839516,,0.00012327711685558476,0.00027064131033059224
0,AC133644.2,3.7107978,,0.0002066070862562341,0.0004447945882803748
0,IGLC2,3.2465754,4.6009297,0.0011680254069796013,0.002371625191836754
0,OCIAD2,2.8989048,,0.00374468592361558,0.007299582697106394
0,PLEKHB1,2.4099607,-0.43228042,0.015954234248260882,0.028772288995961914
0,IL2RA,2.033471,,0.04200495386984088,0.07161969969282332
0,LRRN3,1.630778,,0.10293716938164865,0.16352211180563728
0,VSIG1,1.1099774,0.46972823,0.2670087971730193,0.38894216631175427
0,IGHG4,1.0360425,,0.30018232410286616,0.4297527904121205
0,SPINK2,0.87012506,-2.7515333,0.3842320610883321,0.529245263207069
0,RTKN2,0.80962485,-2.1826766,0.41815581249611145,0.5673755936175189
0,PMCH,0.75820315,,0.448329366381899,0.5997717276012027
0,PLXDC1,0.51089895,0.56522626,0.6094218200693184,0.761777275086648
0,NEFL,0.5010939,,0.6163050196824262,0.7679813329376028
0,FXYD1,0.48085558,,0.6306191469926882,0.7809525040157129
0,TRBV14,0.4690194,,0.6390557576848441,0.7879849046668854
0,PAGE5,0.4313321,,0.6662268967133762,0.8104950081671244
0,LYPD3,0.40274253,2.0170724,0.6871376461234581,0.8273782614370356
0,PI16,0.25350028,0.57484245,0.7998816429584346,0.9063814651087078
0,MYH11,0.16542199,0.78782344,0.8686118409463293,0.951813840218275
0,FXYD2,0.14212844,-0.40602323,0.8869785557393653,0.9606931988865212
0,IL24,0.12084092,-1.6645255,0.9038170375815955,0.9658928204952193
0,CXCL13,0.09501489,-0.5175785,0.9243029988410102,0.9717415270108951
0,FBXL22,0.060576987,0.3211213,0.9516961022136252,0.9791560163991321
0,IGLV2-18,0.0222407,-0.3482391,0.9822559508996738,0.9884205950254487
0,IL17A,0.012820355,-0.13109583,0.9897711174526251,0.9924041036574361
0,IGLV3-10,0.009874419,0.20648982,0.9921214812526213,0.9934725218822364
0,HBM,0.009615266,-0.088846,0.9923282461479903,0.9934725218822364
0,IL22,9.598284e-05,-0.004251765,0.9999234167728657,0.9999234167728657
0,IGHV3-13,-0.0061303503,0.13834295,0.9951087188223129,0.9956065220833545
0,IGKV6-21,-0.009426253,0.1810274,0.9924790493603542,0.9934725218822364
0,RP11-128P17.4,-0.012629866,0.17444195,0.9899230933982927,0.9924041036574361
0,RP11-587P21.2,-0.018849554,0.16188799,0.9849611229428596,0.9884205950254487
0,IGHV1-69,-0.018849554,0.15982652,0.9849611229428596,0.9884205950254487
0,IGHV4-31,-0.018849554,0.17934735,0.9849611229428596,0.9884205950254487
0,KRTAP4-11,-0.018944798,0.22135721,0.9848851423850478,0.9884205950254487
0,RP11-297P16.4,-0.018944798,0.24121574,0.9848851423850478,0.9884205950254487
0,RP11-301G19.1,-0.018944798,0.25849643,0.9848851423850478,0.9884205950254487
0,VSTM2A,-0.018944798,0.2351599,0.9848851423850478,0.9884205950254487
0,PRR9,-0.022057595,0.26869798,0.982402012300853,0.9884205950254487
0,IGKV6D-21,-0.025259731,0.3485921,0.9798477940496355,0.9877497923887455
0,OLFM4,-0.025259731,0.33558574,0.9798477940496355,0.9877497923887455
0,RP11-78L16.1,-0.025259731,0.28304574,0.9798477940496355,0.9877497923887455
0,KRT1,-0.028179085,0.18864591,0.9775193178933459,0.9868948186707177
0,IGLV7-43,-0.02827433,0.24043502,0.9774433540358884,0.9868948186707177
0,TPTE2,-0.03147942,0.29691008,0.9748872055400314,0.985232143041972
0,AC004947.2,-0.031574663,0.32407922,0.9748112491725173,0.985232143041972
0,STAB2,-0.031574663,0.32407922,0.9748112491725173,0.985232143041972
0,NGB,-0.031574663,0.32407922,0.9748112491725173,0.985232143041972
0,CALB1,-0.031574663,0.4437233,0.9748112491725173,0.985232143041972
0,HAND2,-0.031574663,0.31267652,0.9748112491725173,0.985232143041972
0,ARHGAP36,-0.031574663,0.3186481,0.9748112491725173,0.985232143041972
0,IGKV2D-29,-0.034589265,0.33938038,0.972407263485365,0.985232143041972
0,IGHV3-43,-0.037699107,0.369724,0.9699275881765926,0.9841984659326155
0,BHMT,-0.037889596,0.36060983,0.9697757084380556,0.9841984659326155
0,SLN,-0.037889596,0.37045842,0.9697757084380556,0.9841984659326155
0,SERPINB13,-0.037889596,0.36060983,0.9697757084380556,0.9841984659326155
0,OVOL3,-0.037889596,0.36060983,0.9697757084380556,0.9841984659326155
0,IGKV3D-15,-0.037889596,0.43097472,0.9697757084380556,0.9841984659326155
0,IGLV3-25,-0.040388104,0.6304085,0.96778371494184,0.9841984659326155
0,IGLV2-23,-0.04378737,0.60373217,0.9650738929194002,0.9827636384107945
0,HSPB3,-0.04420453,0.45540044,0.964741372410525,0.9827636384107945
0,XIRP1,-0.04420453,0.42674163,0.964741372410525,0.9827636384107945
0,DLK1,-0.04420453,0.41569123,0.964741372410525,0.9827636384107945
0,RALYL,-0.04420453,0.41189724,0.964741372410525,0.9827636384107945
0,RP11-197K6.1,-0.047314372,0.3945032,0.9622626733121724,0.9824019125188079
0,IGHV5-51,-0.05004324,0.31365633,0.9600879321139953,0.9806822595648573
0,BNC1,-0.05042422,0.4508075,0.9597843389032742,0.9806822595648573
0,IGKV1-6,-0.050430123,0.5564447,0.9597796320775879,0.9806822595648573
0,IL20,-0.050519463,0.5029251,0.959708441510147,0.9806822595648573
0,ACTC1,-0.050519463,0.41011938,0.959708441510147,0.9806822595648573
0,PTH2,-0.05353406,0.43730938,0.9573063930948069,0.9803444885763511
0,ASCL1,-0.05353406,0.49900234,0.9573063930948069,0.9803444885763511
0,MGC39584,-0.053629305,0.48180333,0.9572305079805136,0.9803444885763511
0,ADARB2-AS1,-0.056834392,0.4611419,0.9546771159891537,0.9791560163991321
0,CTCFL,-0.056834392,0.48512593,0.9546771159891537,0.9791560163991321
0,HEPACAM2,-0.056834392,0.4611419,0.9546771159891537,0.9791560163991321
0,TRDN,-0.056834392,0.5177476,0.9546771159891537,0.9791560163991321
0,HPSE2,-0.056834392,0.5336967,0.9546771159891537,0.9791560163991321
0,CHP2,-0.056834392,0.5008642,0.9546771159891537,0.9791560163991321
0,AP001189.4,-0.056834392,0.43397805,0.9546771159891537,0.9791560163991321
0,IGHV3-15,-0.05956326,0.4577202,0.9525034808838392,0.9791560163991321
0,CPA4,-0.059848994,0.46735466,0.9522759045044089,0.9791560163991321
0,RP11-714L20.1,-0.063149326,0.5360573,0.9496475959078858,0.9790181401112226
0,SLC38A4,-0.063149326,0.52296257,0.9496475959078858,0.9790181401112226
0,SLC30A10,-0.063149326,0.48256463,0.9496475959078858,0.9790181401112226
0,LINC01351,-0.063149326,0.5346498,0.9496475959078858,0.9790181401112226
0,BPIFB4,-0.063149326,0.52296257,0.9496475959078858,0.9790181401112226
0,KRT75,-0.063149326,0.8044194,0.9496475959078858,0.9790181401112226
0,CLC,-0.06607459,0.23559266,0.9473184424526041,0.9790181401112226
0,SLC6A13,-0.06616393,0.5881766,0.947247316783195,0.9790181401112226
0,EMX2,-0.06625917,0.54434586,0.9471714890532341,0.9790181401112226
0,PRND,-0.06625917,0.5310111,0.9471714890532341,0.9790181401112226
0,XAGE3,-0.06625917,0.54538095,0.9471714890532341,0.9790181401112226
0,RP11-466P24.6,-0.06626139,0.76130325,0.9471697256233448,0.9790181401112226
0,TFF2,-0.06946426,0.59912336,0.9446200811109273,0.9790181401112226
0,REG1A,-0.06946426,0.6909495,0.9446200811109273,0.9790181401112226
0,RP11-768G7.3,-0.06946426,0.54119486,0.9446200811109273,0.9790181401112226
0,HBE1,-0.06946426,0.75337225,0.9446200811109273,0.9790181401112226
0,IGHV1-69-2,-0.07223964,0.8989917,0.9424111996020921,0.9790181401112226
0,RP11-865I6.2,-0.07256894,0.60868007,0.9421491480117564,0.9790181401112226
0,SPRR2A,-0.07577919,0.71438044,0.9395947712032842,0.9777260886610658
0,MS4A6E,-0.07577919,0.5675351,0.9395947712032842,0.9777260886610658
0,CALCA,-0.07577919,0.82317907,0.9395947712032842,0.9777260886610658
0,SPINK8,-0.07577919,0.7721539,0.9395947712032842,0.9777260886610658
0,RP11-279F6.2,-0.07577919,0.63201845,0.9395947712032842,0.9777260886610658
0,NODAL,-0.07577919,0.57727134,0.9395947712032842,0.9777260886610658
0,TUBB1,-0.078889035,0.6144103,0.9371208843265348,0.9777260886610658
0,SOST,-0.078889035,0.8062886,0.9371208843265348,0.9777260886610658
0,SERTM1,-0.082094125,0.58783114,0.9345718655266105,0.9765641228073255
0,RP11-680N20.1,-0.082094125,0.57958996,0.9345718655266105,0.9765641228073255
0,IGKV1D-39,-0.0852084,0.6017581,0.93209571400036,0.9749955167367782
0,IGKV2D-28,-0.0852084,0.7999693,0.93209571400036,0.9749955167367782
0,IGLV9-49,-0.08831381,0.55883825,0.9296272611679879,0.9734316870868983
0,ZFHX4-AS1,-0.08840906,0.7394963,0.9295515631354875,0.9734316870868983
0,RP11-436D23.1,-0.08840906,0.63774604,0.9295515631354875,0.9734316870868983
0,NEFM,-0.090852186,0.5642439,0.9276100403718914,0.9728474466406832
0,IGLV4-69,-0.0911645,1.0098445,0.9273618801602117,0.9728474466406832
0,INSM1,-0.0915189,0.69450986,0.9270802884790837,0.9728474466406832
0,IGKV1-8,-0.0915189,0.7624905,0.9270802884790837,0.9728474466406832
